Frequency (Hz),Power (dB)
47.984193,-64.889157
48.084160,-63.403018
48.184127,-59.259904
48.284094,-60.842998
48.384061,-59.323283
48.484028,-62.876425
48.583995,-69.333205
48.683962,-55.150911
48.783930,-55.686764
48.883897,-60.208755
48.983864,-60.657590
49.083831,-72.842443
49.183798,-63.857781
49.283765,-69.824853
49.383732,-68.879693
49.483699,-60.998812
49.583666,-54.021797
49.683633,-67.621673
49.783600,-64.774516
49.883567,-61.585152
49.983534,-68.734581
50.083501,-58.611410
50.183469,-62.525895
50.283436,-70.553713
50.383403,-60.180035
50.483370,-58.678335
50.583337,-56.807279
50.683304,-62.566778
50.783271,-55.071217
50.883238,-70.794857
50.983205,-56.504096
51.083172,-61.102296
51.183139,-61.746183
51.283106,-61.832248
51.383073,-58.122998
51.483040,-61.146534
51.583007,-70.068470
51.682975,-70.833373
51.782942,-56.146660
51.882909,-60.716279
51.982876,-61.207675
52.082843,-58.663295
52.182810,-63.639368
52.282777,-56.638160
52.382744,-60.075321
52.482711,-55.850665
52.582678,-71.142080
52.682645,-66.424544
52.782612,-58.092814
52.882579,-58.773279
52.982546,-60.777183
53.082514,-60.350563
53.182481,-59.652786
53.282448,-55.683973
53.382415,-68.521635
53.482382,-59.119909
53.582349,-65.757873
53.682316,-66.745103
53.782283,-60.578434
53.882250,-56.574929
53.982217,-60.296255
54.082184,-60.505474
54.182151,-63.228623
54.282118,-57.521369
54.382085,-67.805302
54.482052,-58.351585
54.582020,-62.272613
54.681987,-57.229185
54.781954,-62.743473
54.881921,-58.829990
54.981888,-59.938545
55.081855,-65.932474
55.181822,-71.644394
55.281789,-62.528829
55.381756,-59.292027
55.481723,-68.509366
55.581690,-57.301418
55.681657,-62.518026
55.781624,-57.586149
55.881591,-60.281281
55.981559,-61.865156
56.081526,-63.725942
56.181493,-64.528409
56.281460,-71.677158
56.381427,-72.493954
56.481394,-65.172496
56.581361,-72.421862
56.681328,-61.297177
56.781295,-65.355534
56.881262,-65.008656
56.981229,-65.897049
57.081196,-57.861742
57.181163,-61.347690
57.281130,-64.872464
57.381097,-57.284795
57.481065,-64.579872
57.581032,-64.636764
57.680999,-61.604350
57.780966,-70.458338
57.880933,-66.593790
57.980900,-62.362868
58.080867,-58.103456
58.180834,-63.604870
58.280801,-65.374538
58.380768,-65.580390
58.480735,-66.133137
58.580702,-59.820812
58.680669,-67.149620
58.780636,-67.006283
58.880603,-55.357114
58.980571,-59.071031
59.080538,-63.729165
59.180505,-60.122247
59.280472,-75.144836
59.380439,-58.986743
59.480406,-75.611799
59.580373,-63.851879
59.680340,-75.109207
59.780307,-66.528075
59.880274,-71.134742
59.980241,-74.930575
60.080208,-71.403307
60.180175,-64.754485
60.280142,-60.975817
60.380110,-59.545416
60.480077,-57.167365
60.580044,-63.453104
60.680011,-69.116131
60.779978,-63.292252
60.879945,-57.672722
60.979912,-61.342582
61.079879,-56.240333
61.179846,-61.013221
61.279813,-66.326571
61.379780,-57.876977
61.479747,-64.669931
61.579714,-55.148786
61.679681,-64.440040
61.779648,-69.529023
61.879616,-67.204735
61.979583,-59.777821
62.079550,-59.514367
62.179517,-62.615531
62.279484,-79.302693
62.379451,-62.464583
62.479418,-61.867017
62.579385,-64.202004
62.679352,-58.715465
62.779319,-59.197947
62.879286,-64.137252
62.979253,-66.406326
63.079220,-62.743748
63.179187,-63.492812
63.279155,-61.325434
63.379122,-66.367236
63.479089,-69.365159
63.579056,-71.766708
63.679023,-60.081820
63.778990,-85.775188
63.878957,-59.177239
63.978924,-72.005051
64.078891,-58.467726
64.178858,-60.550203
64.278825,-64.192457
64.378792,-61.297124
64.478759,-61.158114
64.578726,-84.523257
64.678693,-72.165814
64.778661,-63.265156
64.878628,-77.363532
64.978595,-66.941358
65.078562,-66.962237
65.178529,-68.796764
65.278496,-63.353853
65.378463,-59.067655
65.478430,-63.252116
65.578397,-64.998571
65.678364,-54.913430
65.778331,-67.717597
65.878298,-66.602006
65.978265,-66.407906
66.078232,-78.988901
66.178200,-62.808349
66.278167,-63.218956
66.378134,-61.847727
66.478101,-59.138700
66.578068,-62.826542
66.678035,-69.634868
66.778002,-66.939449
66.877969,-62.413099
66.977936,-63.943133
67.077903,-75.888322
67.177870,-66.213447
67.277837,-58.231412
67.377804,-63.380976
67.477771,-63.851217
67.577738,-68.918565
67.677706,-66.574804
67.777673,-66.247924
67.877640,-60.093770
67.977607,-57.756115
68.077574,-65.496511
68.177541,-64.973652
68.277508,-63.008916
68.377475,-67.437764
68.477442,-62.835150
68.577409,-64.866211
68.677376,-76.152673
68.777343,-66.950228
68.877310,-64.449125
68.977277,-60.993220
69.077245,-61.458394
69.177212,-64.462098
69.277179,-72.209954
69.377146,-61.221674
69.477113,-63.611576
69.577080,-63.703695
69.677047,-61.029746
69.777014,-70.145208
69.876981,-59.979880
69.976948,-63.112195
70.076915,-66.751174
70.176882,-60.706422
70.276849,-65.383153
70.376816,-61.922287
70.476783,-71.876367
70.576751,-63.277914
70.676718,-62.467690
70.776685,-63.160524
70.876652,-64.750576
70.976619,-80.691427
71.076586,-60.828311
71.176553,-58.119896
71.276520,-73.443489
71.376487,-59.504616
71.476454,-62.471985
71.576421,-56.926614
71.676388,-57.747278
71.776355,-66.098728
71.876322,-68.812304
71.976290,-80.872515
72.076257,-64.004297
72.176224,-61.230630
72.276191,-63.724241
72.376158,-61.782224
72.476125,-62.670914
72.576092,-57.658162
72.676059,-60.269340
72.776026,-79.646666
72.875993,-66.027407
72.975960,-89.640317
73.075927,-64.081547
73.175894,-73.472279
73.275861,-59.021700
73.375828,-58.328849
73.475796,-59.256941
73.575763,-61.375907
73.675730,-62.531830
73.775697,-56.457409
73.875664,-60.438042
73.975631,-59.500844
74.075598,-60.928959
74.175565,-59.271985
74.275532,-73.017385
74.375499,-73.211623
74.475466,-64.017839
74.575433,-69.113976
74.675400,-67.449252
74.775367,-59.699760
74.875335,-65.273132
74.975302,-63.239567
75.075269,-73.827299
75.175236,-63.532659
75.275203,-65.267548
75.375170,-79.028373
75.475137,-67.175029
75.575104,-59.955821
75.675071,-59.102536
75.775038,-69.222902
75.875005,-70.201073
75.974972,-57.502292
76.074939,-60.941386
76.174906,-67.057620
76.274873,-60.271948
76.374841,-60.751372
76.474808,-64.039620
76.574775,-61.433216
76.674742,-57.993338
76.774709,-62.021754
76.874676,-75.391497
76.974643,-69.647329
77.074610,-60.210939
77.174577,-58.635494
77.274544,-65.608508
77.374511,-63.786168
77.474478,-81.543260
77.574445,-60.474000
77.674412,-72.459500
77.774379,-64.237310
77.874347,-64.531869
77.974314,-66.064129
78.074281,-69.162889
78.174248,-62.717811
78.274215,-67.855778
78.374182,-71.488105
78.474149,-74.150619
78.574116,-62.303146
78.674083,-64.440214
78.774050,-63.741642
78.874017,-75.985009
78.973984,-61.561206
79.073951,-54.821295
79.173918,-69.326607
79.273886,-74.541519
79.373853,-66.733953
79.473820,-63.631077
79.573787,-65.280689
79.673754,-69.022917
79.773721,-64.597062
79.873688,-87.181020
79.973655,-63.986108
80.073622,-61.858808
80.173589,-64.269478
80.273556,-62.483964
80.373523,-54.441271
80.473490,-57.318132
80.573457,-65.789785
80.673424,-69.661644
80.773392,-65.219060
80.873359,-68.317095
80.973326,-60.102960
81.073293,-68.065134
81.173260,-69.437621
81.273227,-57.055355
81.373194,-66.383975
81.473161,-68.226848
81.573128,-63.000089
81.673095,-81.225413
81.773062,-58.140788
81.873029,-64.736148
81.972996,-60.584733
82.072963,-68.368081
82.172931,-65.094680
82.272898,-65.180943
82.372865,-66.098278
82.472832,-73.915664
82.572799,-63.367100
82.672766,-62.308090
82.772733,-63.109183
82.872700,-73.185544
82.972667,-69.201262
83.072634,-66.545084
83.172601,-70.513682
83.272568,-66.628551
83.372535,-59.700283
83.472502,-55.200088
83.572469,-63.880107
83.672437,-68.760734
83.772404,-55.622216
83.872371,-57.942590
83.972338,-58.544004
84.072305,-62.213119
84.172272,-71.308086
84.272239,-60.620513
84.372206,-61.380780
84.472173,-68.713557
84.572140,-72.008656
84.672107,-64.506377
84.772074,-69.685907
84.872041,-63.560437
84.972008,-63.765362
85.071976,-71.383335
85.171943,-64.354789
85.271910,-61.764258
85.371877,-76.154398
85.471844,-66.748309
85.571811,-63.904381
85.671778,-56.637045
85.771745,-60.769544
85.871712,-64.290241
85.971679,-60.104856
86.071646,-76.396998
86.171613,-68.072000
86.271580,-62.694191
86.371547,-67.943420
86.471514,-66.686258
86.571482,-68.336753
86.671449,-69.372253
86.771416,-64.308088
86.871383,-70.619839
86.971350,-70.458377
87.071317,-71.072911
87.171284,-87.237328
87.271251,-60.954144
87.371218,-64.204457
87.471185,-60.282086
87.571152,-63.271873
87.671119,-71.393981
87.771086,-59.046920
87.871053,-55.845337
87.971021,-60.975801
88.070988,-59.330583
88.170955,-59.603590
88.270922,-74.199629
88.370889,-62.997838
88.470856,-64.955844
88.570823,-64.815570
88.670790,-64.471637
88.770757,-65.532450
88.870724,-60.996875
88.970691,-64.884689
89.070658,-57.847994
89.170625,-73.755327
89.270592,-60.421753
89.370559,-69.959337
89.470527,-66.191750
89.570494,-66.769649
89.670461,-76.384831
89.770428,-63.936989
89.870395,-58.279978
89.970362,-63.662386
90.070329,-65.061319
90.170296,-59.175441
90.270263,-63.871564
90.370230,-71.315983
90.470197,-73.226512
90.570164,-60.848037
90.670131,-74.840685
90.770098,-63.920281
90.870066,-62.592205
90.970033,-76.152929
91.070000,-65.410878
91.169967,-64.611753
91.269934,-59.941529
91.369901,-57.794506
91.469868,-62.853119
91.569835,-62.074544
91.669802,-73.763518
91.769769,-61.506915
91.869736,-56.302681
91.969703,-59.606346
92.069670,-64.106903
92.169637,-69.667572
92.269604,-69.517836
92.369572,-63.040668
92.469539,-61.746061
92.569506,-64.064373
92.669473,-76.774064
92.769440,-64.946296
92.869407,-59.895649
92.969374,-56.423491
93.069341,-63.241765
93.169308,-61.547903
93.269275,-66.691428
93.369242,-63.469541
93.469209,-69.563728
93.569176,-65.249429
93.669143,-62.327820
93.769110,-67.705597
93.869078,-60.275913
93.969045,-65.385824
94.069012,-67.562438
94.168979,-58.667754
94.268946,-68.095227
94.368913,-68.968732
94.468880,-60.997043
94.568847,-59.346657
94.668814,-75.114214
94.768781,-68.991753
94.868748,-65.367142
94.968715,-74.293850
95.068682,-63.448529
95.168649,-60.215165
95.268617,-69.594618
95.368584,-61.465149
95.468551,-67.780480
95.568518,-57.280022
95.668485,-63.543136
95.768452,-72.907378
95.868419,-60.428124
95.968386,-67.292908
96.068353,-62.414895
96.168320,-64.468306
96.268287,-68.252419
96.368254,-65.636769
96.468221,-66.962282
96.568188,-67.251542
96.668155,-59.767782
96.768123,-60.040007
96.868090,-65.693836
96.968057,-60.838531
97.068024,-69.423071
97.167991,-59.434046
97.267958,-60.042211
97.367925,-64.216226
97.467892,-60.109198
97.567859,-63.928093
97.667826,-60.645005
97.767793,-56.632800
97.867760,-58.373312
97.967727,-77.200340
98.067694,-60.258033
98.167662,-66.910098
98.267629,-68.022971
98.367596,-65.598507
98.467563,-65.075582
98.567530,-69.037601
98.667497,-65.086139
98.767464,-64.285625
98.867431,-57.952397
98.967398,-66.735343
99.067365,-65.534557
99.167332,-60.527608
99.267299,-60.387970
99.367266,-60.399812
99.467233,-64.304684
99.567200,-70.027183
99.667168,-61.349265
99.767135,-60.615943
99.867102,-62.092880
99.967069,-63.732063
100.067036,-60.073353
100.167003,-63.186696
100.266970,-73.682745
100.366937,-61.029170
100.466904,-69.340010
100.566871,-71.006918
100.666838,-63.786329
100.766805,-64.695061
100.866772,-58.901362
100.966739,-67.386933
101.066707,-59.794739
101.166674,-65.145503
101.266641,-61.997139
101.366608,-86.840909
101.466575,-80.742076
101.566542,-75.539915
101.666509,-59.370709
101.766476,-60.526322
101.866443,-68.190440
101.966410,-60.177144
102.066377,-64.148432
102.166344,-68.061788
102.266311,-55.045371
102.366278,-67.898910
102.466245,-66.306589
102.566213,-65.552464
102.666180,-56.529335
102.766147,-58.943448
