Timestamp (ns),X (rad/s),Y (rad/s),Z (rad/s)
45723283744156,-0.004658,0.006430,-0.002497
45723286176656,-0.005880,0.005208,-0.000054
45723288583166,-0.004658,0.002765,0.001168
45723291040302,-0.007102,-0.000901,0.001168
45723293466916,-0.008323,0.000321,0.004833
45723295889416,-0.008323,0.000321,0.007277
45723298308635,-0.011989,0.000321,0.008498
45723300689989,-0.013210,0.001543,0.008498
45723303166135,-0.015654,0.001543,0.010942
45723305600041,-0.019319,0.000321,0.012164
45723308052593,-0.019319,-0.002122,0.013385
45723310460510,-0.019319,-0.003344,0.015829
45723312914781,-0.021762,-0.009453,0.017051
45723315322645,-0.020541,-0.011896,0.017051
45723317777697,-0.021762,-0.015561,0.018272
45723320208583,-0.018097,-0.018005,0.017051
45723322615197,-0.016875,-0.022892,0.014607
45723325042593,-0.014432,-0.024113,0.013385
45723327474833,-0.010767,-0.026557,0.013385
45723329904260,-0.009545,-0.027779,0.012164
45723332359572,-0.009545,-0.030222,0.012164
45723334766291,-0.007102,-0.030222,0.010942
45723337221135,-0.004658,-0.029000,0.009720
45723339650875,-0.005880,-0.027779,0.009720
45723342080875,-0.005880,-0.027779,0.010942
45723344488895,-0.008323,-0.026557,0.010942
45723346943114,-0.009545,-0.025335,0.012164
45723349349416,-0.010767,-0.022892,0.010942
45723351804104,-0.011989,-0.021670,0.013385
45723354211552,-0.013210,-0.019227,0.013385
45723356642072,-0.014432,-0.016783,0.014607
45723359095562,-0.014432,-0.011896,0.013385
45723361503479,-0.015654,-0.010674,0.014607
45723363957541,-0.016875,-0.007009,0.013385
45723366385093,-0.016875,-0.005788,0.012164
45723368818062,-0.015654,-0.004566,0.013385
45723371249416,-0.014432,-0.004566,0.013385
45723373679989,-0.011989,-0.003344,0.012164
45723376087229,-0.011989,-0.005788,0.012164
45723378540510,-0.008323,-0.004566,0.010942
45723380948479,-0.005880,-0.007009,0.009720
45723383402750,-0.003436,-0.008231,0.008498
45723385833739,0.001450,-0.011896,0.007277
45723388313635,0.005116,-0.013118,0.007277
45723390793531,0.006337,-0.011896,0.007277
45723393272229,0.006337,-0.014340,0.006055
45723395752072,0.006337,-0.013118,0.006055
45723398228322,0.007559,-0.014340,0.004833
45723400708375,0.006337,-0.010674,0.006055
45723403187281,0.006337,-0.008231,0.006055
45723405666135,0.006337,-0.007009,0.004833
45723408146291,0.003894,-0.004566,0.006055
45723410625197,0.002672,-0.000901,0.008498
45723413105510,0.005116,0.001543,0.008498
45723415584416,0.003894,0.003986,0.009720
45723418065093,0.002672,0.005208,0.007277
45723420543427,0.001450,0.007651,0.008498
45723423022125,0.002672,0.008873,0.009720
45723425502072,0.007559,0.010095,0.008498
45723427980875,0.008781,0.008873,0.007277
45723430460822,0.010003,0.008873,0.006055
45723432939468,0.012446,0.010095,0.007277
45723435419260,0.016111,0.006430,0.003612
45723437895510,0.018555,0.003986,0.002390
45723440371916,0.019776,0.002765,0.003612
45723442850875,0.022220,-0.002122,0.002390
45723445329729,0.022220,-0.004566,0.001168
45723447809781,0.022220,-0.009453,-0.000054
45723450289833,0.022220,-0.014340,0.001168
45723452766291,0.019776,-0.016783,0.001168
45723455245406,0.019776,-0.018005,0.001168
45723457724312,0.017333,-0.016783,-0.001275
45723460204416,0.016111,-0.016783,-0.000054
45723462683531,0.013668,-0.011896,0.002390
45723465163479,0.012446,-0.008231,0.004833
45723467642333,0.011224,-0.004566,0.007277
45723470122489,0.007559,-0.000901,0.007277
45723472601500,0.005116,0.005208,0.007277
45723475081604,0.007559,0.011317,0.009720
45723477561760,0.010003,0.012538,0.007277
45723480041395,0.010003,0.014982,0.008498
45723482521239,0.013668,0.016204,0.006055
45723484999989,0.016111,0.016204,0.004833
45723487479833,0.018555,0.017425,0.003612
45723489959677,0.019776,0.016204,0.002390
45723492438375,0.020998,0.014982,0.001168
45723494917072,0.019776,0.016204,-0.000054
45723497396916,0.018555,0.012538,-0.000054
45723499873166,0.017333,0.012538,-0.000054
45723502353218,0.016111,0.012538,-0.001275
45723504830041,0.014890,0.010095,-0.003719
45723507308947,0.014890,0.010095,-0.003719
45723509789000,0.014890,0.008873,-0.002497
45723512203947,0.013668,0.010095,-0.002497
45723514656916,0.014890,0.005208,0.001168
45723517137072,0.013668,0.005208,0.001168
45723519617177,0.012446,0.002765,0.003612
45723522097229,0.010003,0.002765,0.004833
45723524573687,0.010003,0.005208,0.007277
45723527053895,0.007559,0.006430,0.008498
45723529532854,0.005116,0.005208,0.008498
45723532012906,0.003894,0.003986,0.010942
45723534491760,-0.002215,0.002765,0.010942
45723536970614,-0.007102,0.000321,0.012164
45723539450614,-0.008323,-0.004566,0.013385
45723541927906,-0.008323,-0.007009,0.013385
45723544407958,-0.007102,-0.009453,0.013385
45723546886864,-0.005880,-0.010674,0.013385
45723549366916,-0.003436,-0.011896,0.012164
45723551845718,-0.000993,-0.011896,0.008498
45723554322125,0.001450,-0.009453,0.007277
45723556802333,0.000229,-0.008231,0.007277
45723559281291,0.002672,-0.007009,0.006055
45723561761395,0.002672,-0.004566,0.006055
45723564240250,0.003894,-0.003344,0.004833
45723566720354,0.003894,-0.002122,0.006055
45723569199260,0.002672,0.001543,0.004833
45723571678114,0.002672,0.002765,0.006055
45723574156968,0.001450,0.005208,0.006055
45723576635927,0.000229,0.007651,0.006055
45723579114885,-0.002215,0.010095,0.007277
45723581593843,-0.000993,0.012538,0.007277
45723584073947,-0.004658,0.016204,0.004833
45723586552906,-0.007102,0.017425,0.006055
45723589031864,-0.007102,0.018647,0.006055
45723591510822,-0.008323,0.021091,0.006055
45723593989781,-0.009545,0.022312,0.006055
45723596469937,-0.009545,0.021091,0.004833
45723598946447,-0.008323,0.021091,0.004833
45723601426708,-0.008323,0.018647,0.004833
45723603904781,-0.007102,0.018647,0.004833
45723606385145,-0.004658,0.014982,0.003612
45723608865354,-0.003436,0.012538,0.003612
45723611344312,-0.002215,0.010095,0.003612
45723613825354,0.000229,0.008873,0.002390
45723616304156,0.002672,0.006430,0.002390
45723618784104,0.002672,0.003986,0.001168
45723621262906,0.001450,0.000321,0.001168
45723623742958,0.003894,-0.000901,0.002390
45723626222489,0.003894,-0.002122,0.001168
45723628701239,0.003894,-0.002122,-0.000054
45723631181187,0.003894,-0.003344,0.002390
45723633659885,0.003894,-0.002122,0.002390
45723636139937,0.003894,-0.000901,0.002390
45723638595302,0.001450,-0.000901,0.004833
45723641048322,0.002672,0.002765,0.003612
45723643479000,0.000229,0.005208,0.006055
45723645888010,0.001450,0.007651,0.006055
45723648321291,0.000229,0.010095,0.007277
45723650747645,0.000229,0.011317,0.007277
45723653201656,0.000229,0.014982,0.006055
45723655612593,0.002672,0.016204,0.006055
45723658063427,0.007559,0.017425,0.006055
45723660543635,0.010003,0.018647,0.006055
45723663022385,0.012446,0.019869,0.003612
45723665501916,0.014890,0.019869,0.003612
45723667981916,0.016111,0.019869,0.002390
45723670458218,0.016111,0.018647,0.002390
45723672936812,0.017333,0.019869,0.002390
45723675416864,0.016111,0.017425,0.001168
45723677895875,0.016111,0.014982,0.001168
45723680374677,0.017333,0.014982,-0.000054
45723682851916,0.017333,0.012538,0.001168
45723685330979,0.018555,0.011317,-0.000054
45723687811239,0.018555,0.011317,0.002390
