Frequency (Hz),Amplitude (|P1(f)|)
63.379122,0.000215
63.479089,0.000152
63.579056,0.000115
63.679023,0.000443
63.778990,0.000023
63.878957,0.000492
63.978924,0.000112
64.078891,0.000533
64.178858,0.000420
64.278825,0.000276
64.378792,0.000385
64.478759,0.000391
64.578726,0.000027
64.678693,0.000110
64.778661,0.000307
64.878628,0.000061
64.978595,0.000201
65.078562,0.000201
65.178529,0.000162
65.278496,0.000304
65.378463,0.000498
65.478430,0.000307
65.578397,0.000251
65.678364,0.000803
65.778331,0.000184
65.878298,0.000209
65.978265,0.000214
66.078232,0.000050
66.178200,0.000324
66.278167,0.000309
66.378134,0.000361
66.478101,0.000494
66.578068,0.000323
66.678035,0.000147
66.778002,0.000201
66.877969,0.000339
66.977936,0.000284
67.077903,0.000072
67.177870,0.000219
67.277837,0.000548
67.377804,0.000303
67.477771,0.000287
67.577738,0.000160
67.677706,0.000210
67.777673,0.000218
67.877640,0.000442
67.977607,0.000579
68.077574,0.000237
68.177541,0.000252
68.277508,0.000316
68.377475,0.000190
68.477442,0.000323
68.577409,0.000255
68.677376,0.000070
68.777343,0.000201
68.877310,0.000268
68.977277,0.000399
69.077245,0.000378
69.177212,0.000268
69.277179,0.000110
69.377146,0.000388
69.477113,0.000295
69.577080,0.000292
69.677047,0.000397
69.777014,0.000139
69.876981,0.000448
69.976948,0.000312
70.076915,0.000206
70.176882,0.000412
70.276849,0.000241
70.376816,0.000358
70.476783,0.000114
70.576751,0.000307
70.676718,0.000337
70.776685,0.000311
70.876652,0.000259
70.976619,0.000041
71.076586,0.000406
71.176553,0.000555
71.276520,0.000095
71.376487,0.000473
71.476454,0.000336
71.576421,0.000637
71.676388,0.000580
71.776355,0.000222
71.876322,0.000162
71.976290,0.000040
72.076257,0.000282
72.176224,0.000388
72.276191,0.000291
72.376158,0.000364
72.476125,0.000329
72.576092,0.000586
72.676059,0.000433
72.776026,0.000047
72.875993,0.000223
72.975960,0.000015
73.075927,0.000279
73.175894,0.000095
73.275861,0.000500
73.375828,0.000542
73.475796,0.000487
73.575763,0.000382
73.675730,0.000334
73.775697,0.000672
73.875664,0.000425
73.975631,0.000474
74.075598,0.000402
74.175565,0.000486
74.275532,0.000100
74.375499,0.000098
74.475466,0.000282
74.575433,0.000157
74.675400,0.000190
74.775367,0.000463
74.875335,0.000244
74.975302,0.000308
75.075269,0.000091
75.175236,0.000298
75.275203,0.000244
75.375170,0.000050
75.475137,0.000196
75.575104,0.000449
75.675071,0.000496
75.775038,0.000155
75.875005,0.000138
75.974972,0.000596
76.074939,0.000401
76.174906,0.000198
76.274873,0.000433
76.374841,0.000410
76.474808,0.000281
76.574775,0.000379
76.674742,0.000563
76.774709,0.000354
76.874676,0.000076
76.974643,0.000147
77.074610,0.000436
77.174577,0.000523
77.274544,0.000234
77.374511,0.000289
77.474478,0.000037
77.574445,0.000423
77.674412,0.000107
77.774379,0.000275
77.874347,0.000265
77.974314,0.000222
78.074281,0.000156
78.174248,0.000327
78.274215,0.000181
78.374182,0.000119
78.474149,0.000088
78.574116,0.000343
78.674083,0.000268
78.774050,0.000291
78.874017,0.000071
78.973984,0.000374
79.073951,0.000812
79.173918,0.000153
79.273886,0.000084
79.373853,0.000206
79.473820,0.000294
79.573787,0.000243
79.673754,0.000158
79.773721,0.000263
79.873688,0.000020
79.973655,0.000283
80.073622,0.000361
80.173589,0.000274
80.273556,0.000336
80.373523,0.000848
80.473490,0.000609
80.573457,0.000230
80.673424,0.000147
80.773392,0.000245
80.873359,0.000172
80.973326,0.000442
81.073293,0.000177
81.173260,0.000151
81.273227,0.000628
81.373194,0.000214
81.473161,0.000173
81.573128,0.000317
81.673095,0.000039
81.773062,0.000554
81.873029,0.000259
81.972996,0.000418
82.072963,0.000171
82.172931,0.000249
82.272898,0.000246
82.372865,0.000222
82.472832,0.000090
82.572799,0.000303
82.672766,0.000343
82.772733,0.000313
82.872700,0.000098
82.972667,0.000155
83.072634,0.000210
83.172601,0.000133
83.272568,0.000208
83.372535,0.000463
83.472502,0.000777
83.572469,0.000286
83.672437,0.000163
83.772404,0.000740
83.872371,0.000567
83.972338,0.000529
84.072305,0.000347
84.172272,0.000122
84.272239,0.000416
84.372206,0.000381
84.472173,0.000164
84.572140,0.000112
84.672107,0.000266
84.772074,0.000147
84.872041,0.000297
84.972008,0.000290
85.071976,0.000121
85.171943,0.000271
85.271910,0.000365
85.371877,0.000070
85.471844,0.000206
85.571811,0.000285
85.671778,0.000659
85.771745,0.000409
85.871712,0.000273
85.971679,0.000442
86.071646,0.000068
86.171613,0.000177
86.271580,0.000328
86.371547,0.000179
86.471514,0.000207
86.571482,0.000171
86.671449,0.000152
86.771416,0.000272
86.871383,0.000132
86.971350,0.000134
87.071317,0.000125
87.171284,0.000019
87.271251,0.000401
87.371218,0.000276
87.471185,0.000433
87.571152,0.000307
87.671119,0.000120
87.771086,0.000499
87.871053,0.000721
87.971021,0.000400
88.070988,0.000483
88.170955,0.000468
88.270922,0.000087
88.370889,0.000317
88.470856,0.000253
88.570823,0.000257
88.670790,0.000267
88.770757,0.000236
88.870724,0.000399
88.970691,0.000255
89.070658,0.000573
89.170625,0.000092
89.270592,0.000426
89.370559,0.000142
89.470527,0.000219
89.570494,0.000205
89.670461,0.000068
89.770428,0.000284
89.870395,0.000545
89.970362,0.000293
90.070329,0.000250
90.170296,0.000492
90.270263,0.000286
90.370230,0.000122
90.470197,0.000098
90.570164,0.000406
90.670131,0.000081
90.770098,0.000285
90.870066,0.000332
90.970033,0.000070
91.070000,0.000240
91.169967,0.000263
91.269934,0.000450
91.369901,0.000576
91.469868,0.000322
91.569835,0.000352
91.669802,0.000092
91.769769,0.000376
91.869736,0.000684
91.969703,0.000468
92.069670,0.000279
92.169637,0.000147
92.269604,0.000149
92.369572,0.000315
92.469539,0.000366
92.569506,0.000280
92.669473,0.000065
92.769440,0.000253
92.869407,0.000453
92.969374,0.000675
93.069341,0.000308
93.169308,0.000374
93.269275,0.000207
93.369242,0.000300
93.469209,0.000149
93.569176,0.000244
93.669143,0.000342
93.769110,0.000184
93.869078,0.000433
93.969045,0.000241
94.069012,0.000187
94.168979,0.000521
94.268946,0.000176
94.368913,0.000159
94.468880,0.000399
94.568847,0.000482
94.668814,0.000078
94.768781,0.000159
94.868748,0.000241
94.968715,0.000086
95.068682,0.000301
95.168649,0.000436
95.268617,0.000148
95.368584,0.000378
95.468551,0.000183
95.568518,0.000612
